종명,식물분류,과명,학명,외래식물구분
가시엉겅퀴,자생식물,국화과,Cirsium japonicum Fisch. ex DC. var. spinossimum Kitam.,
개엉겅퀴,자생식물,국화과,Cirsium japonicum Fisch. ex DC.,
고려엉겅퀴,자생식물,국화과,Cirsium setidens (Dunn) Nakai,
도깨비엉겅퀴,자생식물,국화과,Cirsium schantarense Trautv. & C.A.Mey.,
동래엉겅퀴,자생식물,국화과,Cirsium toraiense Nakai ex Kitam.,
물엉겅퀴,자생식물,국화과,Cirsium nipponicum (Maxim.) Makino,
바늘엉겅퀴,자생식물,국화과,Cirsium rhinoceros (H.Lév. & Vaniot) Nakai,
버들잎엉겅퀴,자생식물,국화과,Cirsium lineare (Thunb.) Sch.Bip.,
엉겅퀴,자생식물,국화과,Cirsium japonicum Fisch. ex DC. var. maackii (Maxim.) Matsum.,
점봉산엉겅퀴,자생식물,국화과,Cirsium zenii Nakai,
정영엉겅퀴,자생식물,국화과,Cirsium chanroenicum (Nakai) Nakai,
좁은잎엉겅퀴,자생식물,국화과,Cirsium japonicum Fisch. ex DC. f. nakaianum (H.Lév. & Vaniot) W.T.Lee,
큰엉겅퀴,자생식물,국화과,Cirsium pendulum Fisch. ex DC.,
흰잎고려엉겅퀴,자생식물,국화과,Cirsium setidens (Dunn) Nakai var. niveo-araneum Kitam.,
흰잎엉겅퀴,자생식물,국화과,Cirsium vlassovianum Fisch. ex DC.,
흰무늬엉겅퀴,재배식물,국화과,Silybum marianum (L.) Gaertn.,
사향엉겅퀴,외래식물,국화과,Carduus nutans L.,귀화식물
서양가시엉겅퀴,외래식물,국화과,Cirsium vulgare (Savi) Ten.,귀화식물
송곳잎엉겅퀴,외래식물,국화과,Carthamus lanatus L.,불확실종
지느러미엉겅퀴,외래식물,국화과,Carduus crispus L.,귀화식물
카나다엉겅퀴,외래식물,국화과,Cirsium arvense (L.) Scop.,임시정착식물
